movieId,imdbId,tmdbId
25,113627,451.0
35,112637,47018.0
36,112818,687.0
40,112749,34615.0
76,114367,9102.0
88,115697,13997.0
89,113972,2086.0
99,113283,63076.0
100,115907,11062.0
103,118040,2045.0
104,116483,9614.0
105,112579,688.0
108,112646,89333.0
111,75314,103.0
112,113326,33542.0
116,112373,51352.0
122,103859,11066.0
126,110647,27793.0
129,114131,110972.0
130,112364,32622.0
137,113756,5757.0
139,114618,124639.0
142,94878,525153.0
144,112585,16388.0
146,112342,30765.0
149,109093,30157.0
151,114287,11780.0
152,112288,34996.0
153,112462,414.0
158,112642,8839.0
160,112715,10329.0
163,112851,8068.0
178,107447,15730.0
181,113820,9070.0
182,113851,68274.0
188,114194,11980.0
192,114435,56088.0
193,114436,10802.0
198,114558,281.0
200,114666,79593.0
212,112602,26258.0
214,110882,19155.0
222,112679,22625.0
224,112883,1909.0
225,109635,8984.0
228,112854,62488.0
229,109579,10531.0
240,113303,27303.0
242,109771,10954.0
245,109906,72031.0
251,113360,32631.0
253,110148,628.0
256,110216,6280.0
259,113552,6071.0
268,110365,47504.0
269,107566,32325.0
270,110391,43742.0
274,113755,40490.0
276,110516,8986.0
277,110527,10510.0
280,113870,8438.0
281,110684,11593.0
295,114210,2307.0
299,110889,40156.0
301,114129,30304.0
304,114296,161495.0
308,111507,109.0
313,111333,22586.0
317,111070,11395.0
318,111161,278.0
328,114608,9059.0
335,114788,36141.0
338,114857,9271.0
347,104779,10497.0
352,109504,34152.0
356,109830,13.0
358,113305,16295.0
359,110091,48992.0
361,110167,10660.0
367,110475,854.0
374,110989,11011.0
378,111256,15128.0
383,111756,12160.0
384,112443,40480.0
385,110455,52038.0
388,112570,39953.0
404,109339,316098.0
405,110027,8011.0
412,106226,10436.0
415,106292,9409.0
421,109279,14522.0
422,109297,26203.0
424,109305,19819.0
427,106471,18215.0
428,106489,1607.0
435,106598,9612.0
438,109493,19176.0
441,106677,9571.0
444,106834,34444.0
446,106332,10997.0
449,106880,20239.0
451,106926,18551.0
455,106965,1634.0
457,106977,5503.0
459,109890,2087.0
461,109913,18620.0
462,109920,41006.0
463,107057,4916.0
465,107096,31642.0
471,110074,11934.0
472,110097,106143.0
475,107207,7984.0
478,110197,31643.0
479,107286,6.0
481,107302,10909.0
482,110265,507.0
483,107322,34024.0
486,107413,42580.0
489,107478,12121.0
496,111689,83718.0
504,110678,10447.0
506,107756,9300.0
507,107808,9559.0
509,107822,713.0
510,107840,8291.0
515,107943,1245.0
517,107969,7007.0
529,108065,14291.0
530,111102,103413.0
544,108238,11074.0
549,108328,20967.0
555,108399,319.0
556,108515,26408.0
563,107002,51980.0
568,106408,14587.0
570,107349,41653.0
571,111709,53185.0
581,112651,32562.0
589,103064,280.0
590,99348,581.0
598,110719,41043.0
609,116552,25059.0
612,117283,23570.0
619,116165,32308.0
628,117381,1592.0
634,114658,36259.0
637,117608,9099.0
638,113448,2021.0
639,116414,61752.0
640,116095,10988.0
642,117517,398959.0
653,116136,8840.0
654,118026,278978.0
657,111787,16417.0
662,116287,10543.0
663,116768,18414.0
664,116269,47502.0
666,113720,27098.0
674,62711,8069.0
676,140614,187851.0
682,111430,88030.0
688,114048,27281.0
690,111613,105045.0
694,117774,20762.0
695,114736,37144.0
704,117420,9103.0
710,115851,23449.0
711,116322,36355.0
715,113362,11876.0
716,73778,52633.0
717,112546,62364.0
723,92123,123067.0
727,114894,365371.0
728,112701,32513.0
735,109592,21588.0
746,40366,26744.0
770,38426,
772,105201,196940.0
774,84898,181083.0
775,63715,41225.0
778,117951,627.0
787,113147,52059.0
789,100990,123763.0
795,111237,44535.0
798,116040,11228.0
800,116905,26748.0
804,117628,11363.0
818,118073,12606.0
821,112746,525936.0
825,116164,9098.0
826,112865,282919.0
827,112716,124614.0
830,116313,2925.0
838,116191,3573.0
839,115986,10546.0
840,116571,18862.0
849,116225,10061.0
851,115632,549.0
854,51980,116690.0
857,42054,100914.0
867,115836,23945.0
870,119214,9054.0
871,116934,241058.0
875,110693,410921.0
881,116311,12559.0
886,115783,10723.0
887,120271,56077.0
891,113253,10987.0
892,117991,44705.0
904,47396,567.0
905,25316,3078.0
906,36855,13528.0
907,25164,28288.0
923,33467,15.0
927,32143,22490.0
935,45537,29376.0
941,32762,32093.0
944,29162,3598.0
949,48028,220.0
952,48960,2897.0
955,29947,900.0
957,17350,85638.0
961,27893,23114.0
964,39152,22356.0
966,38235,43488.0
970,46414,22733.0
976,22879,22649.0
979,114007,125587.0
984,117357,85328.0
985,117669,124632.0
989,114354,890.0
992,117473,44465.0
993,116635,2033.0
1002,116167,161806.0
1003,116259,11306.0
1008,47977,35115.0
1012,50798,22660.0
1019,46672,173.0
1026,41890,29682.0
1028,58331,433.0
1036,95016,562.0
1041,117589,11159.0
1044,117791,41843.0
1045,116928,55058.0
1049,116409,10586.0
1054,116404,49471.0
1056,116722,25147.0
1057,116242,9716.0
1059,117509,454.0
1065,43140,27256.0
1066,29546,31530.0
1070,44863,26282.0
1080,79470,583.0
1087,113731,21202.0
1091,98627,8491.0
1097,83866,601.0
1099,29992,25842.0
1104,44081,702.0
1105,115885,25750.0
1109,115870,427043.0
1115,114472,141210.0
1116,113057,102461.0
1118,114622,200383.0
1125,72081,11843.0
1146,112759,356054.0
1150,84589,4483.0
1151,109781,18919.0
1154,39881,26174.0
1159,26656,217802.0
1167,116059,38554.0
1180,102014,54405.0
1183,116209,409.0
1184,102426,38251.0
1191,102370,10174.0
1194,78446,11455.0
1199,88846,68.0
1201,60196,429.0
1206,66921,185.0
1211,93191,144.0
1212,41959,1092.0
1213,99685,769.0
1216,95250,175.0
1220,80455,525.0
1221,71562,240.0
1223,104361,530.0
1228,81398,1578.0
1231,86197,9549.0
1235,67185,343.0
1237,50976,490.0
1246,97165,207.0
1250,50212,826.0
1252,71315,829.0
1254,40897,3090.0
1263,77416,11778.0
1274,94625,149.0
1279,102536,339.0
1281,32553,914.0
1286,81534,16633.0
1293,83987,783.0
1295,96332,10644.0
1296,91867,11257.0
1306,101458,10341.0
1311,117550,31388.0
1312,116293,41801.0
1319,107314,331367.0
1322,103678,41671.0
1324,115535,52263.0
1325,106262,33519.0
1329,71233,25944.0
1331,75704,49126.0
1352,115495,8744.0
1353,117057,25189.0
1360,84116,53234.0
1361,117293,17204.0
1363,117372,21539.0
1370,99423,1573.0
1384,117773,168535.0
1385,105690,8845.0
1397,115633,41240.0
1400,117691,49799.0
1404,119783,46027.0
1406,112769,1802.0
1408,104691,9361.0
1410,116240,30285.0
1419,67959,36040.0
1424,116640,303693.0
1427,120390,34314.0
1428,112362,2892.0
1429,116704,9404.0
1431,118708,9622.0
1437,106535,14832.0
1442,119937,26306.0
1446,116790,784.0
1455,116565,58911.0
1464,116922,638.0
1466,119008,9366.0
1470,120014,90928.0
1473,118702,19952.0
1476,119951,9403.0
1482,118064,11844.0
1483,115964,884.0
1486,117422,88423.0
1488,118972,4477.0
1495,120389,6499.0
1500,119229,9434.0
1504,113314,93946.0
1507,119859,77223.0
1508,120366,31465.0
1514,116295,47694.0
1516,115886,9977.0
1522,117482,124843.0
1524,105660,24645.0
1529,119809,1811.0
1533,117398,24183.0
1537,117615,11239.0
1539,120394,15321.0
1546,117561,16375.0
1554,114134,26422.0
1563,119019,47686.0
1568,116949,407992.0
1574,119098,37567.0
1575,116384,43771.0
1577,117076,124834.0
1579,116334,111367.0
1586,119173,4421.0
1591,120177,10336.0
1593,119896,9413.0
1600,120112,38295.0
1608,118571,9772.0
1629,119632,20457.0
1631,118647,18355.0
1633,120402,55306.0
1635,119349,68924.0
1636,120192,36434.0
1645,118971,1813.0
1665,118689,1281.0
1668,119832,12616.0
1680,120148,10215.0
1695,123385,39177.0
1696,118698,19601.0
1702,119137,9574.0
1703,119142,10371.0
1705,116465,167738.0
1708,119352,102406.0
1713,119715,6283.0
1719,120255,10217.0
1720,128755,438108.0
1721,120338,597.0
1734,119590,27103.0
1738,120881,
1739,118539,32302.0
1753,120693,9490.0
1755,120122,25719.0
1756,118643,9033.0
1771,119784,12238.0
1772,118747,11568.0
1809,119250,5910.0
1815,119049,124821.0
1821,120772,17127.0
1831,120738,2157.0
1834,120176,29193.0
1835,120632,795.0
1839,120765,47881.0
1849,119947,6264.0
1851,119508,188870.0
1852,118727,215373.0
1856,138563,13907.0
1875,118866,55561.0
1881,120800,18937.0
1882,120685,929.0
1884,120669,1878.0
1887,119053,14342.0
1890,119547,20064.0
1894,120828,6068.0
1896,118894,50043.0
1900,118849,21334.0
1901,150290,416437.0
1904,122529,37410.0
1907,120762,10674.0
1913,73540,11020.0
1915,120443,108548.0
1919,123987,35680.0
1925,18578,28966.0
1930,23876,56164.0
1931,26752,12311.0
1935,33729,43266.0
1940,39416,33667.0
1942,41113,25430.0
1945,47296,654.0
1947,55614,1725.0
1955,79417,12102.0
1959,89755,606.0
1968,88847,2108.0
1969,89686,10014.0
1975,82418,9725.0
1977,87298,9730.0
1986,97474,11361.0
1989,98136,41828.0
1999,99528,11587.0
2012,99088,196.0
2015,54594,17984.0
2017,54649,32611.0
2023,99674,242.0
2027,120741,9835.0
2033,88814,10957.0
2034,78869,9570.0
2037,75807,14612.0
2045,106868,24736.0
2054,97523,9354.0
2055,77698,28736.0
2056,56095,34774.0
2059,120783,9820.0
2072,96734,11974.0
2079,53994,43037.0
2082,104868,10414.0
2083,104940,10437.0
2086,89731,13380.0
2097,86336,24808.0
2098,57518,19762.0
2099,38969,13850.0
2119,91499,9980.0
2121,85382,10489.0
2128,120813,16155.0
2130,80388,23954.0
2134,90305,11814.0
2144,88128,15144.0
2149,93220,37530.0
2150,80801,8393.0
2152,140796,21661.0
2155,120831,14662.0
2162,100240,34636.0
2167,120611,36647.0
2173,95709,34637.0
2176,40746,1580.0
2182,51207,22527.0
2187,42994,1978.0
2192,139564,46748.0
2197,119125,38621.0
2200,42004,4175.0
2203,36342,21734.0
2204,35279,31997.0
2211,28231,2761.0
2215,23395,36049.0
2222,18756,36054.0
2229,16230,64398.0
2232,123755,431.0
2242,87359,84116.0
2256,84472,48311.0
2258,87690,
2263,96073,11082.0
2264,98625,5971.0
2271,120788,22318.0
2273,120812,2109.0
2276,120835,72987.0
2279,146336,9877.0
2280,118863,26618.0
2286,80731,3486.0
2288,84787,1091.0
2302,104952,10377.0
2303,73440,3121.0
2311,86837,4437.0
2314,120603,39437.0
2316,120791,6435.0
2317,119534,108316.0
2320,118636,9445.0
2322,120157,9425.0
2329,120586,73.0
2331,120722,46889.0
2336,127536,4518.0
2339,155753,17037.0
2346,73747,12223.0
2350,99750,41817.0
2353,120660,9798.0
2356,120533,9466.0
2358,120070,2042.0
2360,154420,309.0
2362,45826,24018.0
2364,87344,39256.0
2370,89087,11532.0
2375,91541,10466.0
2377,89489,11954.0
2381,93756,10587.0
2386,165494,37536.0
2387,124198,10029.0
2389,155975,11252.0
2390,147004,8545.0
2391,120324,10223.0
2396,138097,1934.0
2398,39628,11881.0
2399,89961,13764.0
2400,98115,24951.0
2401,89767,8879.0
2407,88933,10328.0
2411,89927,1374.0
2412,100507,1375.0
2414,90357,11904.0
2419,91024,44326.0
2420,87538,1885.0
