userId,movieId,tag,timestamp
303,2959,clever,1551552287
303,2959,dark comedy,1551552274
303,2959,smart,1551552297
303,2959,twist ending,1551552271
303,116797,historical inaccuracy,1551555859
303,116797,World War II,1551555868
303,168252,dark hero,1551552505
303,168252,emotional,1551552516
303,168252,Hugh Jackman,1551552507
303,168252,R rated,1551552501
1037,356,growing up,1436034706
1037,356,historical,1436034706
1037,356,monologue,1436034706
1225,253,atmospheric,1424028698
1225,253,brad pitt,1424028694
1225,253,fantasy,1424028684
1225,253,Kirsten Dunst,1424028680
1225,253,tom cruise,1424028693
1225,253,urban fantasy,1424028715
1225,253,vampire,1424028678
1225,253,vampires,1424028675
1225,1835,stupid character,1424032443
1225,7153,atmospheric,1424034078
1225,7153,dialogue,1424034094
1225,7153,fantasy,1424034073
1225,7153,great ending,1424034080
1225,7458,boring,1424032635
1225,7458,nothing special,1424032729
1225,8361,apocalypse,1424032770
1225,8361,boring,1424032766
1225,8361,catastrophe,1424032750
1225,8361,natural disaster,1424032751
1225,8361,unrealistic,1424032754
1225,8961,consistent,1424031037
1225,8961,double life,1424031002
1225,8961,funny,1424031018
1225,8961,script,1424030986
1225,8961,self discovery,1424030981
1225,8961,supernatural,1424030993
1225,55442,dark comedy,1424028634
1225,55442,intelligent,1424028597
1225,109374,cinematography,1424028913
1225,109374,funny,1424028924
1225,109374,Ralph Fiennes,1424028936
1225,109374,visually appealing,1424028911
1301,1252,Jack Nicholson,1609102224
1301,1252,noir thriller,1609102232
1301,6870,brutality,1609098964
1301,6870,child abuse,1609098937
1301,6870,thriller,1609098954
1301,81751,animism,1609102149
1301,81751,ghosts,1609102122
1301,81751,magic realism,1609102162
1301,81751,meditative,1609102119
1301,87192,black comedy,1609100106
1301,95167,Bechdel Test:Pass,1609100733
1301,95167,celtic music,1609100725
1301,95167,No Marriage at the End,1609100728
1301,108932,breaking the fourth wall,1609100762
1301,108932,clever,1609100765
1301,122882,Bechdel Test:Pass,1609098603
1301,122906,afrofuturism,1609101159
1301,122906,Bechdel Test+,1609101175
1301,122906,Letitia Wright,1609101170
1301,122906,Lupita Nyong'o,1609101155
1301,122906,Martin Freeman,1609101184
1301,122906,Michael B. Jordan,1609101165
1301,160080,Kate McKinnon,1609099500
1399,193,campy,1669714205
1399,2959,complicated,1578121300
1399,2959,insanity,1578121309
1399,2959,mental illness,1578121287
1399,2959,mindfuck,1578121291
1399,2959,philosophy,1578121283
1399,2959,social commentary,1578121276
1399,2959,societal criticism,1578121305
1399,2959,twist ending,1578121279
1399,26629,campy,1669878768
1399,26629,cult classic,1669878770
1399,105844,misery porn,1669714408
1399,109374,visually appealing,1670953787
1551,149,independent film,1596054827
1551,149,minimalistic,1596054822
1551,746,film noir,1526799108
1551,905,screwball comedy,1526813615
1551,906,gaslighting,1616444347
1551,906,husband wife relationship,1616444364
1551,955,screwball comedy,1526813638
1551,1154,film noir,1547930653
1551,1201,spaghetti western,1544981118
1551,1212,film noir,1526742791
1551,1252,mystery,1638710184
1551,1252,neo-noir,1638710165
1551,1252,private detective,1638710180
1551,1295,based on a book,1526813276
1551,1680,coincidence,1591476273
1551,1968,ensemble cast,1555866050
1551,2176,long takes,1538945515
1551,2187,film noir,1526741421
1551,2187,flashback,1611175460
1551,2187,murder mystery,1611175468
1551,2211,espionage,1610818062
1551,2211,spy film,1610818047
1551,2232,low budget,1526048116
1551,2360,dogme95,1617571221
1551,2360,handheld cameras,1617571250
1551,2983,brainwashing,1649002077
1551,2993,james bond,1526801378
1551,3061,blackface,1577631719
1551,3061,Christmas,1577631724
1551,3089,Italian neorealism,1526815877
1551,3266,black and white,1526800890
1551,3334,film noir,1526800447
1551,3531,art,1609180873
1551,3531,independent film,1609180867
1551,3638,James Bond,1590181610
1551,3801,courtroom drama,1526813796
1551,3965,film noir,1526741897
1551,4177,Agatha Christie,1605987196
1551,4177,miss marple,1605987203
1551,4177,murder mystery,1605987223
1551,4191,kitchen sink realism,1526799738
1551,4325,trilogy,1525549992
1551,4546,better than the american version,1586462778
1551,5017,film noir,1526799126
1551,5021,ensemble cast,1577394169
1551,5021,old dark house,1577394697
1551,5021,whodunit,1533487798
1551,5289,film noir,1526800606
1551,5352,based on a book,1526813382
1551,5352,Raymond Chandler,1526813364
1551,5800,breaking the fourth wall,1608817744
1551,5800,language barrier,1608817758
1551,5800,misogynistic,1608817734
1551,5966,film noir,1526740779
1551,6650,black comedy,1534100553
1551,6650,multiple roles,1534100480
1551,6830,film noir,1526740794
1551,6830,Hitchcock never made,1533973393
1551,7219,femme fatale,1604252001
1551,7219,film noir,1604252299
1551,7241,Polish Film School,1526814457
1551,7286,deadpan,1656187576
1551,7286,deadpan humor,1656187582
1551,7306,corrupt politician,1641672748
1551,7306,corruption,1641672745
1551,7306,politics,1641672755
1551,7745,visually appealing,1570385134
1551,7749,surreal,1556731557
1551,7914,city,1610656237
1551,7942,first love,1606037782
1551,8542,lindy hop,1533567912
1551,8542,swing dancing,1533567907
1551,8584,film noir,1526800645
1551,8584,melodrama,1690827436
1551,8584,technicolor,1690827431
1551,8664,kafkaesque,1585681600
1551,8765,film noir,1526741409
1551,25739,silent movie,1584798338
1551,25773,gangster movie,1526798850
1551,25911,film noir,1526741247
1551,25921,film noir,1544825396
1551,25940,film noir,1526741697
1551,25966,Italian neorealism,1526816069
1551,26076,gaslighting,1562510098
1551,26076,plot twist,1562510108
1551,26076,surprise ending,1562510114
1551,26076,twisted ending,1562510124
1551,27773,disturbing,1528657545
1551,27773,vengeance,1528657538
1551,30701,Medieval ,1606157645
1551,30701,Shakespeare,1606157628
1551,31364,murder mystery,1575574641
1551,31973,Italian neorealism,1526815850
1551,31973,neorealism,1610212042
1551,31973,post WWII,1610212049
1551,33119,Italian neorealism,1526815992
1551,40738,flashbacks,1604773759
1551,42938,black and white,1526798682
1551,43497,affair,1620508572
1551,43497,husband wife relationship,1620508578
1551,43497,marriage,1620508584
1551,43497,Moral Tales,1620508561
1551,44073,Italian neorealism,1526815966
1551,44199,heist film,1560108965
1551,44392,film noir,1526829714
1551,48909,based on a book,1555792930
1551,48909,based on a true story,1555792926
1551,48909,diplomacy,1555792529
1551,48909,espionage,1555792494
1551,48909,film noir,1526800581
1551,48909,spy film,1555792422
1551,48909,World War II,1555792450
1551,54372,based on a book,1605207953
1551,56015,film noir,1562417251
1551,57648,based on a play,1640362389
1551,57648,black comedy,1640362378
1551,58898,black and white,1526048692
1551,58898,hidden gem,1526048696
1551,58898,tribute to silent cinema,1526049190
1551,60494,film noir,1638128302
1551,60494,undercover,1638128294
1551,60494,undercover cop,1638128285
1551,60494,undercover cops,1638128289
1551,62153,kitchen sink realism,1526799487
1551,63113,James Bond,1526801285
1551,68921,film noir,1526828649
1551,69027,'60s feel,1635686500
1551,69027,60s setting,1635686496
